n	elapsed	Epochs	val_binary_accuracy	val_categorical_accuracy
2	294.87442350387573	11	0.5114286	0.5114286
3	790.0546114444733	37	0.6759524	0.46357143
4	471.6037254333496	26	0.7526786	0.37892857
5	719.2105782032013	48	0.79621434	0.34464285
6	312.2630088329315	17	0.84202385	0.30071428
7	558.0394012928009	24	0.86372435	0.27035713
8	701.0954613685608	34	0.88308036	0.28321427
9	851.0924706459045	46	0.89698416	0.29964286
10	578.0746586322784	31	0.90885717	0.31607142
11	519.0848009586334	29	0.9218507	0.34785715
12	580.3376305103302	31	0.9265773	0.34357142
13	1150.068769454956	68	0.93810445	0.42571428
14	802.1522259712219	48	0.93844384	0.3932143
15	907.6587884426117	56	0.9448809	0.39392856
16	830.8334515094757	58	0.9509598	0.44214284
17	515.0565512180328	34	0.9539497	0.43785715
18	827.3881635665894	51	0.9584723	0.46571428
19	761.4403789043427	50	0.9592671	0.45285714
20	615.4553742408752	43	0.9623748	0.4625
21	980.6614830493927	70	0.96527207	0.49035713
22	1237.0778555870056	78	0.96681815	0.49821427
23	949.0618486404419	60	0.96909946	0.5132143
24	1198.9911861419678	77	0.9719642	0.53571427
25	805.9123029708862	54	0.9722431	0.5260714
26	859.6933550834656	60	0.97348887	0.54
27	866.5826306343079	60	0.9766668	0.55785716
28	784.5756101608276	53	0.9773596	0.5592857
