category	val_acc	struct_acc	rnd_acc	Time	Epochs
dbase3	1.0	1.0	1.0	4m42s	11
eps	0.9942857	0.989	1.0	8m00s	19
csv	1.0	1.0	1.0	5m19s	12
txt	1.0	1.0	1.0	4m42s	11
gif	0.92035717	0.848	0.991	16m40s	39
xls	0.99285716	0.991	1.0	9m51s	23
pptx	0.8385714	0.827	0.828	12m59s	30
log	0.99964285	0.998	1.0	5m19s	12
f	1.0	1.0	1.0	4m50s	11
html	1.0	1.0	1.0	5m01s	11
rtf	1.0	1.0	1.0	5m17s	12
ps	0.995	0.99	1.0	4m55s	11
hlp	1.0	1.0	1.0	4m49s	11
pdf	0.8325	0.674	0.977	29m59s	70
jpg	0.9235714	0.865	0.99	25m31s	59
png	0.8010714	0.659	0.96	19m40s	46
dwf	0.73285717	0.528	0.914	16m16s	37
swf	0.7867857	0.592	0.97	19m58s	43
java	1.0	1.0	1.0	5m18s	11
gz	0.7746429	0.613	0.906	16m59s	37
wp	0.99714285	0.998	1.0	5m19s	11
sql	0.9975	0.995	1.0	5m19s	11
kml	0.99892855	0.995	1.0	7m43s	16
pps	0.87357146	0.748	0.962	26m12s	57
xml	1.0	1.0	1.0	5m14s	11
kmz	0.7764286	0.589	0.983	16m21s	36
ppt	0.8964286	0.827	0.977	28m18s	63
doc	0.93642855	0.885	0.99	14m13s	31
